countyID,LKType,LKName,probText,n_people
5774,LK,Paderborn,-98.5,304332.0
9262,SK,Passau,-80.8,50566.0
9275,LK,Passau,50.7,188336.0
3157,LK,Peine,-74.3,132320.0
9186,LK,Pfaffenhofen,78.10000000000001,124128.0
8231,SK,Pforzheim,-59.5,122247.0
1056,LK,Pinneberg,80.30000000000001,307471.0
7317,SK,Pirmasens,-83.4,40125.0
1057,LK,Plön,-69.5,128304.0
12054,SK,Potsdam,-51.800000000000004,167745.0
12069,LK,Potsdam-Mittelmark,-96.6,210910.0
12070,LK,Prignitz,68.4,77573.0
8216,LK,Rastatt,-91.2,227474.0
8436,LK,Ravensburg,67.4,279296.0
5562,LK,Recklinghausen,80.4,617807.0
9276,LK,Regen,99.4,76812.0
9362,SK,Regensburg,-86.6,145465.0
9375,LK,Regensburg,81.39999999999999,189390.0
8119,LK,Rems-Murr-Kreis,88.7,419456.0
5120,SK,Remscheid,-56.0,109499.0
1058,LK,Rendsburg-Eckernförde,88.8,270378.0
8415,LK,Reutlingen,-84.4,282113.0
5362,LK,Rhein-Erft-Kreis,65.3,466657.0
7140,LK,Rhein-Hunsrück-Kreis,80.7,102529.0
5162,LK,Rhein-Kreis,-72.5,450026.0
7141,LK,Rhein-Lahn-Kreis,-71.80000000000001,123543.0
8226,LK,Rhein-Neckar-Kreis,-67.0,541859.0
7338,LK,Rhein-Pfalz-Kreis,61.7,151546.0
5382,LK,Rhein-Sieg-Kreis,-91.2,596213.0
6439,LK,Rheingau-Taunus-Kreis,-76.2,184114.0
5378,LK,Rheinisch-Bergischer,-96.5,282729.0
9673,LK,Rhön-Grabfeld,57.4,79723.0
9163,SK,Rosenheim,-90.6,61844.0
9187,LK,Rosenheim,-71.80000000000001,256074.0
13003,SK,Rostock,99.9,206011.0
13072,LK,Rostock,-81.9,213473.0
3357,LK,Rotenburg,-77.3,163253.0
9576,LK,Roth,-52.7,125140.0
9277,LK,Rottal-Inn,93.2,119218.0
8325,LK,Rottweil,98.3,137500.0
16074,LK,Saale-Holzland-Kreis,86.1,86184.0
16075,LK,Saale-Orla-Kreis,-97.5,82951.0
15088,LK,Saalekreis,65.9,186431.0
16073,LK,Saalfeld-Rudolstadt,-81.2,109278.0
10045,LK,Saar-Pfalz-Kreis,-70.2,144584.0
10044,LK,Saarlouis,95.39999999999999,197009.0
3102,SK,Salzgitter,58.8,101079.0
15089,LK,Salzlandkreis,85.3,196695.0
10046,LK,Sankt,-93.8,88892.0
3257,LK,Schaumburg,-53.199999999999996,156206.0
1059,LK,Schleswig-Flensburg,-88.4,196839.0
16066,LK,Schmalkalden-Meiningen,-94.1,124623.0
9565,SK,Schwabach,89.5,40428.0
6634,LK,Schwalm-Eder-Kreis,-87.1,180310.0
9376,LK,Schwandorf,-82.7,144864.0
8326,LK,Schwarzwald-Baar-Kreis,73.4,209648.0
9662,SK,Schweinfurt,-52.400000000000006,51969.0
9678,LK,Schweinfurt,99.2,114813.0
13004,SK,Schwerin,-53.5,96800.0
8127,LK,Schwäbisch,52.1,191614.0
1060,LK,Segeberg,84.3,267503.0
5970,LK,Siegen-Wittgenstein,-92.1,280800.0
8437,LK,Sigmaringen,-86.8,130772.0
5974,LK,Soest,-88.3,302995.0
5122,SK,Solingen,88.2,158726.0
16072,LK,Sonneberg,88.0,56818.0
7318,SK,Speyer,75.7,50284.0
12071,LK,Spree-Neiße,74.5,117635.0
3359,LK,Stade,-96.9,200054.0
10041,LK,Stadtverband,94.39999999999999,327380.0
9188,LK,Starnberg,-61.9,133621.0
1061,LK,Steinburg,98.2,131457.0
5566,LK,Steinfurt,-62.4,443374.0
15090,LK,Stendal,63.9,115262.0
1062,LK,Stormarn,-81.4,239614.0
9263,SK,Straubing,51.7,46806.0
9278,LK,Straubing-Bogen,-74.9,98806.0
8111,SK,Stuttgart,75.4,623738.0
16054,SK,Suhl,-99.4,36778.0
14628,LK,Sächsische,-85.7,247412.0
16068,LK,Sömmerda,-80.1,70600.0
7337,LK,Südliche,-54.4,110526.0
7340,LK,Südwestpfalz,-99.2,96474.0
12072,LK,Teltow-Fläming,75.9,163553.0
9377,LK,Tirschenreuth,-88.6,73314.0
9189,LK,Traunstein,96.1,174162.0
7211,SK,Trier,-88.8,114914.0
7235,LK,Trier-Saarburg,-93.6,147999.0
8327,LK,Tuttlingen,68.5,136606.0
8416,LK,Tübingen,96.0,221837.0
12073,LK,Uckermark,92.10000000000001,121014.0
3360,LK,Uelzen,98.5,93131.0
8421,SK,Ulm,81.5,122636.0
5978,LK,Unna,-82.9,396035.0
16064,LK,Unstrut-Hainich-Kreis,-93.8,105273.0
9778,LK,Unterallgäu,-50.3,140419.0
3460,LK,Vechta,72.6,137866.0
3361,LK,Verden,59.9,134645.0
5166,LK,Viersen,73.1,297661.0
6535,LK,Vogelsbergkreis,87.9,107256.0
14523,LK,Vogtlandkreis,-94.6,232318.0
13075,LK,VorpommernGreifswald,76.8,238358.0
13073,LK,VorpommernRügen,78.60000000000001,224820.0
7233,LK,Vulkaneifel,83.1,60794.0
6635,LK,Waldeck-Frankenberg,-76.9,157592.0
8337,LK,Waldshut,-94.9,167861.0
5570,LK,Warendorf,-97.3,277431.0
16063,LK,Wartburgkreis,-87.5,125655.0
9363,SK,Weiden,-97.0,42055.0
9190,LK,Weilheim-Schongau,-78.5,132906.0
16055,SK,Weimar,84.89999999999999,64131.0
16071,LK,Weimarer,83.3,82127.0
9577,LK,Weißenburg-Gunzenhausen,53.400000000000006,93342.0
6636,LK,Werra-Meißner-Kreis,83.3,100715.0
5170,LK,Wesel,-95.2,462664.0
3461,LK,Wesermarsch,-82.0,89239.0
7143,LK,Westerwaldkreis,-64.1,200302.0
6440,LK,Wetteraukreis,-94.4,301931.0
6414,SK,Wiesbaden,70.8,276218.0
3405,SK,Wilhelmshaven,-98.8,75995.0
15091,LK,Wittenberg,-57.300000000000004,128447.0
3462,LK,Wittmund,83.3,57173.0
3158,LK,Wolfenbüttel,86.7,120981.0
3103,SK,Wolfsburg,94.1,124045.0
7319,SK,Worms,97.5,82102.0
9479,LK,Wunsiedel,-85.2,73185.0
5124,SK,Wuppertal,-65.4,350046.0
9663,SK,Würzburg,-67.5,124873.0
9679,LK,Würzburg,81.5,160427.0
8417,LK,Zollernalbkreis,84.0,188595.0
7320,SK,Zweibrücken,-57.7,34260.0
14524,LK,Zwickau,73.3,324534.0
